Ano,Título ,Título original,Diretor(a),Gênero,País,Visto em,Nota
2013,Como não perder essa mulher,Don Jon,Joseph Gordon-Levitt,Homem,EUA,-,2.5
2002,Planeta do Tesouro,Treasure Planet,John Musker; Ron Clements,Homem,EUA,-,4
2003,Doze é demais ,Cheaper by the dozen ,Adam Shankman,Homem,EUA,-,2.5
2005,Doze é demais 2,Cheaper by the dozen 2,Adam Shankman,Homem,EUA,-,3
2002,Um amor para recordar,A walk to remember,Adam Shankman,Homem,EUA,-,2
2008,Um faz de conta que acontece,Bedtime Stories,Adam Shankman,Homem,EUA,-,0.5
2009,Uma prova de amor ,My sister's keeper,Nick Cassavetes,Homem,EUA,-,4.5
2005,Hitch - O conselheiro amoroso,Hitch,Andy Tennant,Homem,EUA,-,3
2003,Ligado em você,Stuck on you,Bobby Farrally; Peter Farrally,Homem,EUA,-,2.5
2013,Guerra Mundial Z,World War Z,Marc Foster,Homem,EUA,-,2.5
2009,A Órfã,Orphan,Jaume Collet-Serra,Homem,EUA,-,2
2005,Operação Babá,The Pacifier,Adam Shankman,Homem,EUA,-,2.5
2008,Vestida para casar,27 dresses,Anne Fletcher,Mulher,EUA,-,4
2006,"Ela Dança, Eu Danço",Step up,Anne Fletcher,Mulher,EUA,-,2.5
2008,"Ela dança, eu danço 2",Step up: the streets,John M. Chu,Homem,EUA,-,"2,5"
2009,A proposta,The proposal,Anne Fletcher,Mulher,EUA,-,3
1991,Meu primeiro amor,My girl,Howard Zieff,Homem,EUA,-,5
2007,As 7 regras do amor,Lucky 7,Harry Winer,Homem,EUA,-,4
2005,Madagascar,Madagascar,Eric Darnell; Tom McGrath,Homem,EUA,-,2
2008,Madagascar 2: A grande escapada,Madagascar: Escape 2 Africa,Eric Darnell; Tom McGrath,Homem,EUA,-,2.5
2012,Madagascar 3: Os procurados,Madagascar 3,Eric Darnell; Tom McGrath; Conrad Vemon,Homem,EUA,-,2.5
2007,Alvin e os Esquilos,Alvin and the Chipmunks,Tim Hill,Homem,EUA,-,2.5
2009,Alvin e os Esquilos 2,Alvin and the Chipmunks: The Squeakquel,Betty Thomas,Homem,EUA,-,2.5
2011,Alvin e os Esquilos 3,Alvin and the  Chipmunks: Chip-Wrecked,Mike Michell,Homem,EUA,-,1.5
2011,Thor,Thor,Kenneth Branagh,Homem,EUA,-,2.5
1999,Gigolô por acidente,Deuce Bigalow: Male Gigolo,Mike Michell,Homem,EUA,-,3
1996,O professor aloprado,The nutty professor,Tom Shadyac,Homem,EUA,-,3
2009,Imagine só!,Imagine that,Karey Kirkpatrick,Homem,EUA,-,"2,5"
2010,Gente grande,Grown Ups,Dennis Dugan,Homem,EUA,-,3
2005,O casamento de romeu e Julieta,O casamento de romeu e Julieta,Bruno Barreto,Homem,Brasil,-,"2,5"
2009,Recém-casado,Recien Cazado,Rene Bueno,Homem,México,-,3
2007,A família do futuro,Meet the robinsons,Stephen J. Anderson,Homem,EUA,-,3
2006,Velozes e Furiosos: Desafio em tóquio,The fast and the fuious: tokyo drift,Justin Lin,Homem,EUA,-,3
2008,"Como viajar com o ""mala"" do seu pai",college road trip,Roger Kumble,Homem,EUA,-,"2,5"
2013,Meu passado me condena: O filme,Meu passado me condena: O filme,Julia Rezende,Mulher,Brasil,-,"0,5"
2012,Até que a sorte nos separe,Até que a sorte nos separe,Roberto Santucci,Homem,Brasil,-,"0,5"
2008,Colegiais em apuros,College,Beb Hagan,Mulher,EUA,-,2
2010,A vida e morte de Charlie St. CLoud,Charlie St. Cloud,Burr Steers,Homem,EUA,-,"2,5"
