TÍTULO,TÍTULO ORIGINAL,AUTOR,TRADUTOR(A),GÊNERO,PAÍS,LIDO EM,NOTA,FORMATO,PÁGINAS,EDITORA,TAG
O nervo da noite,O nervo da noite,João Gilberto Noll,-,Homem,Brasil,-,2,Livro,48,Scipione,físico
Estrelas Tortas,Estrelas Tortas,Walcyr Carrasco,-,Homem,Brasil,-,5,Livro,104,Moderna,físico
A marca de uma lágrima,A marca de uma lágrima,Pedro Bandeira,-,Homem,Brasil,-,5,Livro,184,Moderna,físico
Amanhecer,Breakdawn,Stephenie Meyer,,Mulher,EUA,-,2,Livro,567,Intrínseca,físico
Para sempre,Evermore,Alyson Noel,,Mulher,EUA,-,3,Livro,255,Intrínseca,físico
Os cientistas e seus experimentos de arromba,Scientists and their mind blowing experiments,Mike Goldsmith,,Homem,EUA,-,2,Livro,192,Cia das Letras,físico
Leonardo da Vinci e seu super cérebro,Leonardo da Vinci and his super-brain,Michael Cox,,Homem,EUA,-,2,Livro,176,Cia das Letras,físico
O exército de um homem só,O exército de um homem só,Moacyr Sciliar,-,Homem,Brasil,-,5,Livro,180,L&PM,físico
Coisas que todas as garotas deveriam saber,Coisas que todas as garotas deveriam saber,Antônio Carlos Vilela,-,Homem,Brasil,-,1,Livro,104,Melhoramentos,físico
Pântano de Sangue,Pântano de Sangue,Pedro Bandeira,-,Homem,Brasil,-,3,Livro,192,Moderna,físico
O seminarista,O seminarista,Bernado Guimarães,-,Homem,Brasil,-,5,Livro,43,Rideel,físico
Ciumento de Carteirinha,Ciumento de Carteirinha,Moacyr Sciliar,-,Homem,Brasil,-,5,Livro,136,Ática,físico
Feliz por nada,Feliz por nada,Martha Medeiros,-,Mulher,Brasil,-,2,Livro,216,L&PM,físico
Corda Bamba,Corda Bamba,Lygia Bojunga,-,Mulher,Brasil,-,5,Livro,34,Italiana,físico
Sermão da Sexagésima,Sermão da Sexagésima,Padre Antônio Vieira,-,Homem,Brasil,-,3,Livro,147,Casa Lygia Bojunga,físico
Retratos de escola,Retratos de escola,Adriano Macedo; et. al,-,Homem,Brasil,-,3,Livro,88,Autêntica,físico
Felicidade Clandestina,Felicidade Clandestina,Clarice Lispector,-,Mulher,Brasil,-,3,Livro,160,Rocco,físico
Pollyanna,Pollyanna,Eleonor H. Porter,,Mulher,EUA,-,4,Livro,80,Escala Educacional,físico
Caderno H,Caderno H,Mário Quintana,-,Homem,Brasil,-,4,Livro,759,Alfaguara,físico
Um amor para recordar,A walk to remember,Nichokas Sparks,,Homem,EUA,-,3,Livro,184,Novo Conceito,físico
Diário de um banana,Diary of Wimpy Kid,Jeff Kinney,,Homem,EUA,-,2,Livro,217,V&R,físico
Garotas da Rua beacon: Piores inimigas/ melhores amigas,Beacon Street Girls: Worst Enimies/ Best Friends,Annie Bryant,,Mulher,EUA,-,3,Livro,254,Fundamento,físico
Ponto de Impacto,Deception Point,Dan Brown,,Homem,EUA,-,5,Livro,448,Sextante,físico
Fazendo meu filme: A estreia de fani,Fazendo meu filme: A estreia de fani,Paula Pimenta,-,Mulher,Brasil,-,3,Livro,336,Gutenberg,físico
Fazendo meu filme: Fani na terra da rainha,Fazendo meu filme: Fani na terra da rainha,Paula Pimenta,-,Mulher,Brasil,-,3,Livro,328,Gutenberg,físico
Fazendo meu filme: O roteiro inesperado de fani,Fazendo meu filme: O roteiro inesperado de fani,Paula Pimenta,-,Mulher,Brasil,-,3,Livro,424,Gutenberg,físico
A infância acabou,A infância acabou,Renato Tapajós,-,Homem,Brasil,-,4,Livro,160,Ática,físico
A barata medrosa e o Coronel Baratinado,A barata medrosa e o Coronel Baratinado,Luzia de Maria,-,Mulher,Brasil,-,4,Livro,32,Scipione,físico
O pequeno príncipe,Le pettit prince,Antoine de Saint-Exupéry,,Homem,França,2013,5,Livro,160,Geração,físico
Assassinatos na Academia Brasileira de Letras,Assassinatos na Academia Brasileira de Letras,Jô Soares,-,Homem,Brasil,2013,4,Livro,256,Cia das Letras,físico
A culpa é das estrelas ,The fault in our stars,John Green,,Homem,EUA,2013,2,Livro,288,Intrínseca,físico
Anna e o beijo francês,Anna and the french kiss,Stephanie Perkins,,Mulher,EUA,2013,3,Livro,288,Novo Conceito,físico
Diva,Diva,José de Alencar,*,Homem,Brasil,2014,3,Livro,120,Ática,físico
Minha vida fora de série 1,Minha vida fora de série 1,Paula Pimenta,-,Mulher,Brasil,2014,3,Livro,408,Gutenberg,físico
Minha vida fora de série 2,Minha vida fora de série 2,Paula Pimenta,-,Mulher,Brasil,2014,5,Livro,424,Gutenberg,físico
O projeto Rosie,The Rosie project,Graeme Simsion,,Homem,Austrália,2014,3,Livro,320,Record,físico
Coraline,Coraline,Neil Gaiman,,Homem,EUA,2014,3,Livro,155,Rocco,físico
Não conte a ninguém,Tell no one,Harlan Coben,,Homem,EUA,2014,3,Livro,322,Arqueiro,físico
Anjos e Demônios,Angels and Demons,Dan Brown,,Homem,EUA,2014,4,Livro,464,Sextante,físico
Maus,Maus,Art Spielgelman,,Homem,EUA,2014,5,HQ,296,Quadrinhos na cia,físico
Desventuras em série: Mau começo,A series of Unfortunate events: Bad Beginning,Lemony Snicket,,Homem,EUA,2014,"4,5",Livro,152,Cia das Letras,físico
Só perguntas erradas: Quem poderia ser uma hora dessas?,All the wrong question: Who could that be at this hour?,Lemony Snicket,,Homem,EUA,2014,"4,5",Livro,235,Seguinte,físico
O semeador de ideias,O semeador de ideias,Augusto Cury,-,Homem,Brasil,2014,"4,5",Livro,272,Acadêmia de Inteligência,físico
A cabana,The shack,William P. Young,,Homem,EUA,2014,5,Livro,240,Sextante,físico
Sweet Tooth: Depois do apocalipse #1,Sweet Tooth: Out of deep woods #1,Jeff Lemire,,Homem,EUA,2014,5,HQ,132,Panini,online
Sweet Tooth: Depois do apocalipse #2,Sweet Tooth: In captivity #2,Jeff Lemire,,Homem,EUA,2014,5,HQ,148,Panini,online
Sweet Tooth: Depois do apocalipse #3,Sweet Tooth: Animal Armies #3,Jeff Lemire,,Homem,EUA,2014,5,HQ,146,Panini,online
Sweet Tooth: Depois do apocalipse #4,Sweet Tooth: Endangered Species #4,Jeff Lemire,,Homem,EUA,2014,5,HQ,180,Panini,online
Sweet Tooth: Depois do apocalipse #5,Sweet Tooth: Unnatural habitats #5,Jeff Lemire,,Homem,EUA,2014,5,HQ,164,Panini,online
A casa das orquídeas,The orchid house,Lucinda Riley,,Mulher,EUA,2014,4,Livro,560,Novo conceito,físico
Extraordinário,Wonder,R. J. Palacio,,Mulher,EUA,2014,5,Livro,320,Intrínseca,físico
Negrinha,Negrinha,Monteiro Lobato,-,Homem,Brasil,2014,3,Livro,212,Globo,físico
As invenções de Hugo Cabret,The invention of Hugo Cabret,Brian Selznick,,Homem,EUA,2014,2,Livro,534,SM,físico
O físico,The physician,Noah Gordon,,Homem,EUA,2014,3,Livro,652,Rocco,físico
Hit-Girl #1,Hit-Girl #1,Mark Millar; John Romita Jr.,,Homem,EUA,2014,3,HQ,25,Trad-mania,online
Kick-Ass #1,Kick-Ass #1,Mark Millar; John Romita Jr.,,Homem,EUA,2014,3,HQ,27,Marvel,online
Kick-Ass #2,Kick-Ass #2,Mark Millar; John Romita Jr.,,Homem,EUA,2014,3,HQ,28,Marvel,online
Kick-Ass #3,Kick-Ass #3,Mark Millar; John Romita Jr.,,Homem,EUA,2014,3,HQ,24,Marvel,online
Kick-Ass #4,Kick-Ass #4,Mark Millar; John Romita Jr.,,Homem,EUA,2014,3,HQ,35,Marvel,online
Kick-Ass #5,Kick-Ass #5,Mark Millar; John Romita Jr.,,Homem,EUA,2014,3,HQ,33,Marvel,online
Kick-Ass #6,Kick-Ass #6,Mark Millar; John Romita Jr.,,Homem,EUA,2014,3,HQ,26,Marvel,online
Kick-Ass #7,Kick-Ass #7,Mark Millar; John Romita Jr.,,Homem,EUA,2014,3,HQ,27,Marvel,online
Kick-Ass #8,Kick-Ass #8,Mark Millar; John Romita Jr.,,Homem,EUA,2014,3,HQ,29,Marvel,online
O triste fim de Policarpo Quaresma,O triste fim de Policarpo Quaresma,Lima Barreto,-,Homem,Brasil,2014,2,Livro,224,Avenida,físico
Filhos do Éden,Filhos do Éden,Eduardo Sphor,-,Homem,Brasil,2014,4,Livro,471,Verus,físico
